polymer name,date,charge,ligpargen_repeats,add_end_Cs,smiles,temperature,salt,charge scale,salt amount,repeat units,mass of repeat unit,chains,oxygen count per chain,other solvate atom count per chain,r = Li:solv_atom ratio,polymer chain length,total atoms in system,"salt molality, kg/mol",data
PEO,24.02.12,DFT,6,FALSE,[Cu]COC[Au],415,LiTFSI,0.75,190,140,44.02,30,1,0,0.045238095,988,32680,1.022262608,
PCL,24.02.12,DFT,3,TRUE,[Cu]OC(=O)CCCCC[Au],415,LiTFSI,0.75,255,55,116.16,30,2,0,0.077272727,998,34020,1.330453293,
PPM,24.02.12,DFT,3,TRUE,[Cu]C(=O)CC(=O)OCCCCCO[Au],415,LiTFSI,0.75,195,40,174.196,30,4,0,0.040625,968,32160,0.932857241,
1APEO,24.02.12,DFT,3,TRUE,[Cu]C(=O)CCCC(=O)OC(C)CO[Au],415,LiTFSI,0.75,245,41,174.196,30,4,0,0.049796748,992,33680,1.143464786,
PPO,24.02.12,DFT,6,TRUE,[Cu]CC(C)O[Au],415,LiTFSI,0.75,180,100,60.096,30,1,0,0.06,1008,33120,0.998402556,
3BPEO,24.02.12,DFT,3,TRUE,[Cu]C(=O)COCC(=O)OC(COCCOCCOC)CO[Au],415,LiTFSI,0.75,210,25,294.3,30,8,0,0.035,1008,33600,0.951410126,
PES23,24.02.12,DFT,3,TRUE,[Cu]SCCSCCSCCOCCOCCOCCOC[Au],415,LiTFSI,0.75,70,22,344.564,30,4,3,0.015151515,1020,31720,0.307811048,
CSSAX1,24.02.12,DFT,3,TRUE,[Cu]SCCSCCOCCCCOC[Au],415,LiTFSI,0.75,100,32,224.391,30,2,2,0.026041667,1000,31600,0.46421945,
C4EO4,24.02.12,DFT,3,TRUE,[Cu]CCCCOCCOCCOCCOCC[Au],415,LiTFSI,0.75,240,25,234.34,30,4,0,0.08,1008,34080,1.365537254,
PETE3,24.02.12,DFT,3,TRUE,[Cu]SCCOCCOCCSCCOCCOCCOCCOC[Au],415,LiTFSI,0.75,60,20,372.549,30,6,2,0.0125,1068,33000,0.268421067,
PEPC,24.02.12,DFT,3,TRUE,[Cu]OC(=O)OC(CCC)C[Au],415,LiTFSI,0.75,155,52,132.159,30,3,0,0.033119658,996,32360,0.751813909,
PEO2MO,24.02.12,DFT,3,TRUE,[Cu]OCCOCCOC[Au],415,LiTFSI,0.75,85,55,120.148,30,3,0,0.017171717,998,31300,0.42876412,
PDMPC,24.02.12,DFT,3,TRUE,[Cu]OC(=O)OCC(OC)(OC)C[Au],415,LiTFSI,0.75,280,47,164.157,30,5,0,0.039716312,995,34330,1.209705101,
PEC,24.02.12,DFT,6,TRUE,[Cu]OC(=O)OCC[Au],415,LiTFSI,0.75,230,100,90.077,30,3,0,0.025555556,1008,33920,0.851123668,
C2EO5,24.02.12,DFT,3,TRUE,[Cu]CCOCCOCCOCCOCCOCC[Au],415,LiTFSI,0.75,290,24,250.335,30,5,0,0.080555556,992,34400,1.608955111,
C6EO4,24.02.12,DFT,3,TRUE,[Cu]CCCCCCOCCOCCOCCOCC[Au],415,LiTFSI,0.75,210,22,262.39,30,4,0,0.079545455,1020,33960,1.212629362,
SiMEME,24.02.12,DFT,3,TRUE,[Cu]O[Si](C)(C)OCCOCC[Au],415,LiTFSI,0.75,290,40,164.28,30,3,0,0.080555556,968,32400,1.47106566,
SIMEPR,24.02.12,DFT,3,TRUE,[Cu]O[Si](C)(CCC)OCCOCC[Au],415,LiTFSI,0.75,250,35,192.33,30,3,0,0.079365079,1058,36380,1.237951636,